BILL DATE,CUSTOMER,mat,QUANTITY,region,MATERIAL description
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
04-12-2022,GME METALS SRL,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,ITALY,SILICO MANGANESE Mn 65% to 70% LOW PHOS
17-02-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,27,SWEDEN,SILICO MANGANESE Mn 60% - 65%
17-02-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,27,SWEDEN,SILICO MANGANESE Mn 60% - 65%
16-02-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,27,SWEDEN,SILICO MANGANESE Mn 60% - 65%
16-02-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,27,SWEDEN,SILICO MANGANESE Mn 60% - 65%
16-02-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,27,SWEDEN,SILICO MANGANESE Mn 60% - 65%
16-02-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,27,SWEDEN,SILICO MANGANESE Mn 60% - 65%
16-02-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,27,SWEDEN,SILICO MANGANESE Mn 60% - 65%
16-02-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,27,SWEDEN,SILICO MANGANESE Mn 60% - 65%
16-02-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,27,SWEDEN,SILICO MANGANESE Mn 60% - 65%
16-02-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,27,SWEDEN,SILICO MANGANESE Mn 60% - 65%
23-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,28,SWEDEN,SILICO MANGANESE Mn 60% - 65%
23-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,28,SWEDEN,SILICO MANGANESE Mn 60% - 65%
23-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,28,SWEDEN,SILICO MANGANESE Mn 60% - 65%
23-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 60% - 65%,28,SWEDEN,SILICO MANGANESE Mn 60% - 65%
19-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
19-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
19-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
19-01-2023,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70% LOW PHOS,28,SWEDEN,SILICO MANGANESE Mn 65% to 70% LOW PHOS
